climate_id,climate_zone,avg_temperature,intensity
1,Tropical Moist,22.5,Medium
2,Tropical Dry,25.0,
3,Tropical Dry,22.5,
4,Tropical Dry,30.0,
5,Tropical Dry,32.0,
6,Tropical Dry,24.0,
7,Tropical Dry,27.0,
8,Tropical Dry,28.0,
9,Tropical Moist,22.0,
10,Tropical Dry,26.0,
11,Tropical Moist,25.0,
12,Tropical Dry,25.0,Low
13,Tropical Dry,22.0,
14,Tropical Dry,28.0,Low
15,Tropical Dry,29.0,
16,Tropical Dry,27.0,0
17,Tropical Dry,23.0,Low
18,Tropical Dry,28.0,0
19,Tropical Dry,34.0,
20,Tropical Dry,,
21,Tropical Dry,31.0,
22,Tropical Dry,21.0,
23,Tropical Dry,20.0,0
24,Tropical Dry,27.0,Low
25,Tropical Dry,26.0,Low
26,Tropical Moist,28.0,
27,Tropical Dry,30.0,Low
28,Tropical Dry,23.0,
29,Tropical Dry,19.0,0
30,Tropical Dry,22.0,Low
31,Tropical Dry,20.0,
32,,,
33,Tropical Dry,24.0,Low
34,Tropical Dry,29.0,Low
35,Tropical Dry,23.0,0
36,Tropical Dry,25.0,0
37,Tropical Dry,41.0,
38,Tropical Dry,24.0,0
39,Tropical Dry,19.0,
40,Tropical Dry,30.0,0
41,Tropical Dry,20.0,Low
42,Tropical Dry,27.0,Medium
43,Tropical Moist,27.0,
44,Tropical Dry,29.0,0
45,Tropical Dry,39.0,
46,Tropical Dry,32.0,Low
47,Tropical Moist,40.0,
48,Tropical Moist,52.0,Low
