co_product_id,result_id,result_id_parent,co_product_uid,entity_system_id,type,value_relative_to_crop,country,business_name,date_created,date_synched,fa_name,data_versioning,last_modified_by,last_updated,entity_id
1,1470002575931166739,1470002575931166660,SKOIeiEIbEc,DL-BD-EB-3475,sầu riêng,9.68,Vietnam,Nescafe,2024-07-04 11:28:12,2024-07-04 11:28:12,YEN NGUYEN,,YEN NGUYEN,2024-11-29 06:26:39,283
2,1469997855002392927,1469997855002392848,xGPUTufg6ln,DL-BD-TH-3940,"cây sả, cây tiêu",41.6,Vietnam,Nescafe,2024-06-26 04:04:43,2024-06-28 14:31:09,THOA NGUYEN,0.2,THOA NGUYEN,2024-11-29 09:32:17,79
3,1470002575928403474,1470002575928403395,QD0AQTOCG8K,DL-BD-EB-3673,tiêu,70.0,Vietnam,Nescafe,2024-07-02 04:29:28,2024-07-02 04:29:28,HAI LE,,HAI LE,2024-11-29 06:33:58,311
4,1469918505932401871,1469918505931501983,hpHg0PfwPiS,DL-BD-EB-3219,đfd,2.0,Vietnam,Nescafe,2024-05-21 04:28:29,2024-05-21 04:28:29,ROSSY,,ROSSY,2024-05-21 04:28:29,146
5,1470002575928804201,1470002575928804122,xI8k4LtEMAR,DL-BD-TH-1930,tiêu,6.3,Vietnam,Nescafe,2024-07-02 13:10:08,2024-07-02 13:10:08,HUY NGUYEN,,HUY NGUYEN,2024-11-29 06:19:41,151
6,1469997855002522208,1469997855002522129,O2fPCqa2bJW,DL-BD-TH-1023,cây điều,1.43,Vietnam,Nescafe,2024-06-26 08:58:32,2024-06-28 15:30:06,THOA NGUYEN,0.1,THOA NGUYEN,2024-11-29 06:13:05,318
7,1469997855002751510,1469997855002754546,QsK4arpUz75,DL-BD-CN-5220,điều,0.05,Vietnam,Nescafe,2024-06-26 11:36:08,2024-06-26 13:15:00,MAI NGUYEN,,MAI NGUYEN,2024-11-29 06:25:23,206
8,1469997855006550467,1469997855004066665,Qu7JLHP9r9G,10004-75-12-134,Tiêu,15.3,Vietnam,Nescafe,2024-06-29 03:39:46,2024-06-30 14:30:21,MAI NGUYEN,,MAI NGUYEN,2024-11-29 06:21:33,142
9,1469997855005118110,1469997855005118031,zTgdJHIl2R9,DL-CM-CM-4477,"tiêu, bơ",5.0,Vietnam,Nescafe,2024-06-28 03:20:49,2024-06-28 17:56:41,THOA NGUYEN,0.0,THOA NGUYEN,2024-11-28 03:21:27,231
10,1470002575928360581,1470002575928360502,iVDcRAUTgtr,DL-CM-EMD-4859,Tiêu,20.51,Vietnam,Nescafe,2024-07-02 03:09:14,2024-07-02 17:39:28,MAI NGUYEN,,MAI NGUYEN,2024-11-29 06:48:46,226
11,1469997855004186778,1469997855004186696,TStMQQL0dzV,DL-CM-EK-1784,tiêu,16.0,Vietnam,Nescafe,2024-06-27 08:36:23,2024-09-06 03:19:59,THOA NGUYEN,1.0,THOA NGUYEN,2024-11-29 06:33:02,274
12,1470002576002989827,1470002575926389626,yH5xdHUy5cW,DL-CM-CM-4362,cau,6.0,Vietnam,Nescafe,2024-08-29 17:02:18,2024-08-29 17:02:18,PHUONG NGUYEN,1.0,PHUONG NGUYEN,2024-11-29 06:31:51,284
13,1469997855002829561,1469997855002828643,mxqtLggXzHo,DL-CK-ET-331,tiêu,8.6,Vietnam,Nescafe,2024-06-26 13:04:22,2024-06-26 13:04:22,YEN NGUYEN,,YEN NGUYEN,2024-08-12 08:57:15,47
14,1470002575926582564,1470002575926582485,VvL4j8yaRoT,DL-CK-ET-858,tiêu,26.0,Vietnam,Nescafe,2024-06-29 16:11:27,2024-06-29 16:11:27,HAI LE,,HAI LE,2024-11-29 06:19:45,262
15,1470157558593320386,1470157558593320298,P8fL90bHK7t,CA0222103,bơ,4.35,Vietnam,Nescafe,2024-11-21 03:20:21,2024-12-04 08:50:02,HAI LE,0.0,HAI LE,2025-01-09 08:39:41,222
16,1470002575936969207,1470002575936457697,dztXvIaH57M,L-10004-75-10-0617-2397,"bơ, tiêu",63.0,Vietnam,Nescafe,2024-07-09 15:55:49,2024-07-09 15:55:49,QUYNH TRAN,,QUYNH TRAN,2024-11-29 06:15:04,87
17,1470002575961907730,1470002575961907647,kMsqbrC6WJV,L-10004-75-10-0617-1427,bơ,0.002,Vietnam,Nescafe,2024-07-30 14:52:30,2024-07-30 14:52:30,YEN NGUYEN,,YEN NGUYEN,2024-11-29 06:20:14,96
18,1470157558590856192,1470157558590515407,bv2JJclPih7,DL0722101,sầu,3.85,Vietnam,Nescafe,2024-11-19 14:37:34,2024-12-04 08:21:47,QUYNH TRAN,0.3,QUYNH TRAN,2025-01-09 08:39:50,316
19,1470157558593498508,1470157558593498348,dEKHnVvBgit,CA0423133,sầu,1.52,Vietnam,Nescafe,2024-11-21 05:41:11,2024-12-04 09:34:54,HAI LE,0.3,HAI LE,2025-01-09 08:39:58,305
20,1470157558589472941,1470157558588969665,tasCo3ZhXSe,DL0222084,bơ,1.1,Vietnam,Nescafe,2024-11-18 14:05:40,2024-11-18 14:05:40,QUYNH TRAN,,QUYNH TRAN,2025-01-09 08:38:50,281
