fertilizer_input_id,result_id,result_id_parent,fertilizer_input_uid,entity_system_id,fertilizer_type,n_ammonium,n_nitrate,n_urea,n_total,p_content,uom_p,k_content,uom_k,total_ingredients,application_rate,uom_application_rate,fertilizer_unit,application_method,manufactured_in,fa_name,country,business_name,date_created,date_synched,data_versioning,last_modified_by,last_updated,entity_id
1,1470002575993369447,1470002575944974234,fus3TJ3VEmY,L-10004-75-3-1220-2370,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,750.0,kg / ha,product,Broadcast,SE Asia 2014,PHUONG NGUYEN,Vietnam,Nescafe,2024-08-23 09:57:45,2024-08-23 09:57:45,1.0,PHUONG NGUYEN,2024-11-29 06:25:32,70
2,1470002575937979120,1470002575937978217,K3G1uV4di7a,L-10004-75-10-0617-3255,Compose your own NPK,0.0,0.0,0.0,0.0,15.0,p2o5,0.0,K2O,15.0,400.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-10 12:09:55,2024-11-13 03:25:31,2.0,HAI LE,2024-11-29 06:21:17,133
3,1470002575935344596,1470002575933502742,aoWbliPwSLy,L-10004-75-10-0617-3569,Compose your own NPK,0.0,17.0,0.0,17.0,17.0,p2o5,7.0,K2O,41.0,487.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-08 15:18:32,2024-10-18 12:49:17,0.0,HAI LE,2024-11-29 06:25:49,37
4,1470002575935344757,1470002575933502742,f3agRPyzwzV,L-10004-75-10-0617-3569,Cattle manure - 0.6% N,,,,,,,,,,2000.0,kg / ha,product,Broadcast,,HAI LE,Vietnam,Nescafe,2024-07-08 15:18:32,2024-10-18 12:49:18,0.0,HAI LE,2024-11-29 06:25:49,37
5,1470002575935345005,1470002575933502742,eNvE3UM4qdV,L-10004-75-10-0617-3569,Compose your own NPK,0.0,20.0,0.0,20.0,15.0,p2o5,21.0,K2O,56.0,487.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-08 15:18:32,2024-10-18 12:49:17,0.0,HAI LE,2024-11-29 06:25:49,37
6,1470002575933358150,1470002575933357079,As38LC7G7O9,L-10004-75-10-0617-3792,Compose your own NPK,0.0,20.0,0.0,20.0,20.0,p2o5,15.0,K2O,55.0,516.0,kg / ha,product,Broadcast,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-06 07:47:36,2024-07-06 07:47:36,,HAI LE,2024-11-29 06:18:20,317
7,1470002575933357312,1470002575933357079,S5Mhi6VsvvX,L-10004-75-10-0617-3792,Urea - 46% N,,,,,,,,,,117.0,kg / ha,product,Apply in solution,SE Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-06 07:47:34,2024-10-21 03:10:51,1.0,HAI LE,2024-11-29 06:18:20,317
8,1470002575936712230,1470002575936741048,JGlfvBqXO7K,L-10004-75-10-0617-1425,Compose your own NPK,0.0,18.0,0.0,18.0,16.0,p2o5,16.0,K2O,50.0,588.0,kg / ha,product,Broadcast,S Asia 2014,HAI LE,Vietnam,Nescafe,2024-07-09 10:33:51,2024-07-09 10:33:51,,HAI LE,2024-11-29 06:20:27,39
9,1470002575936964509,1470002575936991494,e1CwtFnES7F,L-10004-75-10-0617-1439,Compose your own NPK,0.0,15.0,0.0,15.0,15.0,p2o5,22.0,K2O,52.0,511.0,kg / ha,product,Broadcast,Europe 2014,HAI LE,Vietnam,Nescafe,2024-07-09 15:51:48,2024-10-18 02:51:46,1.0,HAI LE,2024-11-29 06:20:44,256
10,1470002575936959985,1470002575936991494,qYgmtZDWjv4,L-10004-75-10-0617-1439,Compose your own NPK,0.0,22.0,0.0,22.0,15.0,p2o5,16.0,K2O,53.0,186.0,kg / ha,product,Apply in solution,Europe 2014,HAI LE,Vietnam,Nescafe,2024-07-09 15:47:55,2024-10-18 02:51:45,1.0,HAI LE,2024-11-29 06:20:44,256
