base_column,original_column,kept
Entity ID,Entity ID,True
System ID,System ID,True
Entity Name,Entity Name,False
Entity Name,Entity Name.1,False
Entity Name,Entity Name (update),True
Unit,Unit,False
Unit,Unit.1,False
Unit,Unit (update),True
Unit,Unit.2,False
Unit,Unit.3,False
Unit,Unit.4,False
Country,Country,True
Country,Country.1,False
Country,Country.2,False
Country,Country.3,False
Data Created,Data Created,True
Date of The Data Collection,Date of The Data Collection,True
Year of reporting,Year of reporting,True
Do you want to collect data on Plot or Entity level,Do you want to collect data on Plot or Entity level,True
Enumerator,Enumerator,True
Interviewee/Person,Interviewee/Person,True
Assessment name,Assessment name,True
Previous M&E assessment(s),Previous M&E assessment(s),True
Year of previous M&E assessment(s) - 2018,Year of previous M&E assessment(s) - 2018,True
Year of previous M&E assessment(s) - 2019,Year of previous M&E assessment(s) - 2019,True
Year of previous M&E assessment(s) - 2020,Year of previous M&E assessment(s) - 2020,True
Year of previous M&E assessment(s) - 2021,Year of previous M&E assessment(s) - 2021,True
Year of previous M&E assessment(s) - 2022,Year of previous M&E assessment(s) - 2022,True
Year of previous M&E assessment(s) - 2023,Year of previous M&E assessment(s) - 2023,True
Currency,Currency,True
Currency,Currency.1,False
Currency,Currency.2,False
Currency,Currency.3,False
Currency,Currency.4,False
Currency,Currency.5,False
Currency,Currency.6,False
Currency,Currency.7,False
Currency,Currency.8,False
Currency,Currency.9,False
Currency,Currency.10,False
Currency,Currency.11,False
Currency,Currency.12,False
Currency,Currency.13,False
Currency,Currency.14,False
Currency,Currency.15,False
Currency,Currency.16,False
Currency,Currency.17,False
Currency,Currency.18,False
Currency,Currency.19,False
Currency,Currency.20,False
Currency,Currency.21,False
Currency,Currency.22,False
Currency,Currency.23,False
Currency,Currency.24,False
Currency,Currency.25,False
Currency,Currency.26,False
Currency,Currency.27,False
Currency,Currency.28,False
Area unit,Area unit,True
Volume unit,Volume unit,True
Species - Arabica,Species - Arabica,True
Species - Robusta,Species - Robusta,True
Species - Liberica,Species - Liberica,True
Entity picture,Entity picture,True
Farmer signature,Farmer signature,True
Data collection cant be completed,Data collection cant be completed,True
Please explain,Please explain,True
Farm and Plot Information (Step 2),Farm and Plot Information (Step 2),True
Do you want to update existing information?,Do you want to update existing information?,True
Do you want to autofill the field with existing information?,Do you want to autofill the field with existing information?,True
Farm ID,Farm ID,False
Farm ID,Farm ID (update),True
Address 1,Address 1,False
Address 1,Address 1 (update),True
Address 2,Address 2,False
Address 2,Address 2 (update),True
Region,Region,False
Region,Region (update),True
Region,Region.1,False
Region,Region (Update),False
Region,Region.2,False
Sub Region,Sub Region,False
Sub Region,Sub Region (update),True
Sub Region,Sub Region.1,False
Sub Region,Sub Region (Update),False
Sub Region,Sub Region.2,False
Sub-unit,Sub-unit,False
Sub-unit,Sub-unit (update),True
Latitude,Latitude,False
Latitude,Latitude (update),True
Latitude,Latitude.1,False
Latitude,Latitude (Update),False
Latitude,Latitude.2,False
Longitude,Longitude,False
Longitude,Longitude (update),True
Longitude,Longitude.1,False
Longitude,Longitude (Update),False
Longitude,Longitude.2,False
Altitude,Altitude,False
Altitude,Altitude (update),True
Altitude,Altitude.1,False
Altitude,Altitude (Update),False
Altitude,Altitude.2,False
Polygon,Polygon,False
Polygon,Polygon (update),True
Polygon,Polygon.1,False
Polygon,Polygon (update).1,False
Polygon,Polygon.2,False
Calculate Polygon Area,Calculate Polygon Area,False
Calculate Polygon Area,Calculate Polygon Area (update),True
Total Farm Area,Total Farm Area,False
Total Farm Area,Total Farm Area (Update),True
Review existing plot,Review existing plot,True
Existing Plot - Plot number,Existing Plot - Plot number,True
Do you want to update existing plot information?,Do you want to update existing plot information?,True
Do you want to autofill the field with existing plot information?,Do you want to autofill the field with existing plot information?,True
Species,Species,False
Species,Species (Update),True
Species,Species.1,False
Species,Species.2,False
Variety,Variety,False
Variety,Variety (Update),True
Variety,Variety.1,False
