entity_id,fertilizer_used,n_pct,p_pct,k_pct,unacceptable_4c,weed_management
1470157558564695309,Lu00e2n Vu0103n u0110iu1ec3n,15.0,,,No,mowing/cutting
1470157558564695295,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1470157558564694946,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564695057,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564694699,npk 21-11-8,21.0,11.0,8.0,No,mowing/cutting
1470157558564694968,Uru00ea 46,46.0,0.0,0.0,No,mowing/cutting
1470157558564694704,npk 18-8-18,18.0,8.0,18.0,No,mowing/cutting
1470157558564695065,npk 20-10-10,20.0,0.0,0.0,No,mowing/cutting
1470157558564694989,ure 46,46.0,0.0,0.0,No,mowing/cutting
1470157558564695215,uru00ea 46%,46.0,0.0,0.0,No,mowing/cutting
1470157558564694714,npk 20-15-15,20.0,15.0,15.0,No,mowing/cutting
1470157558564694722,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564694903,ure,46.0,0.0,0.0,No,mowing/cutting
1470157558564694972,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1470157558564694797,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1470157558564695074,ure,46.0,0.0,0.0,No,mowing/cutting
1470157558564694799,npk 25-5-19,25.0,5.0,19.0,No,mowing/cutting
1470157558564695163,ure,46.0,0.0,0.0,No,mowing/cutting
1470157558564695952,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564695873,npk 20-20-10,20.0,20.0,10.0,No,mowing/cutting
1470157558564695063,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564695879,ure,46.0,0.0,0.0,No,mowing/cutting
1470157558564696002,ure,45.0,0.0,0.0,No,mowing/cutting
1470157558564695991,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1470157558564695965,npk 16 -16-8,16.0,16.0,8.0,No,mowing/cutting
1470157558564695118,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1470157558564694820,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1470157558564695191,npk 20-5-6,20.0,5.0,6.0,No,combination of practices
1470157558564695739,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564695307,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1470157558564695573,npk 20-15-5,20.0,15.0,5.0,No,mowing/cutting
1470157558564695554,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1470157558564695390,ure,46.0,0.0,0.0,No,mowing/cutting
1470157558564695569,ure,46.0,0.0,0.0,No,combination of practices
1470157558564695558,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1470157558564695628,npk 20-10-10,20.0,10.0,10.0,No,combination of practices
1470157558564695562,npk17-7-17,17.0,7.0,17.0,No,mowing/cutting
1470157558564695658,npk20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564695386,20-5-6,20.0,5.0,6.0,No,mowing/cutting
1470157558564695504,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1470157558564695096,npk 20-10-10,20.0,10.0,10.0,No,mowing/cutting
1470157558564695337,,,,,,
1470157558564695889,,,,,,
1470157558564695757,,,,,,
1469278379854639222,,,,,,
1469278379854639342,ure,46.0,0.0,0.0,No,combination of practices
1469278379854638502,npk 20-10-15,20.0,10.0,15.0,No,combination of practices
1469278379854638316,NPK 22-6-4,22.0,6.0,4.0,No,combination of practices
1469883818362504539,npk 20-20-15,20.0,20.0,15.0,No,combination of practices
1469278379855013128,NPK 20-10-10,20.0,10.0,10.0,No,combination of practices
1469278379855012334,NPK16-8-16,16.0,8.0,16.0,No,combination of practices
1469278379855013186,NPK 20-5-5,20.0,5.0,5.0,No,combination of practices
1469883818362504743,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854782274,NPK 20.8.20,20.0,8.0,20.0,No,mowing/cutting
1469278379855014872,npk 20-5-5 phú m?,20.0,5.0,5.0,No,mowing/cutting
1469278379855004447,npk phú m? 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854781944,NPK 20-20-15,20.0,20.0,15.0,No,mowing/cutting
1469278379854781789,NPk 20.6.19,20.0,6.0,19.0,No,mowing/cutting
1469278379854781780,NPk 16.16.8,16.0,16.0,8.0,No,mowing/cutting
1469278379855014611,NPK 24-8-7,24.0,8.0,7.0,No,combination of practices
1469278379855014782,npk ??u trâu 20-10-5,20.0,10.0,5.0,No,mowing/cutting
1469278379855013420,NPK20-20-15,20.0,20.0,15.0,No,combination of practices
1469278379855013426,NPK16-16-8,16.0,16.0,8.0,No,hand hoe
1469278379855008977,SA 21%,21.0,0.0,0.0,No,combination of practices
1469278379854782189,npk 20.5.5,20.0,5.0,5.0,No,mowing/cutting
1469883818362504707,NPK20.5.5,20.0,5.0,5.0,No,mowing/cutting
1469278379855004763,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854782176,NPK 17-7-17,17.0,7.0,17.0,No,mowing/cutting
1469278379855013194,NPK 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854783010,urê 46,46.0,0.0,0.0,No,mowing/cutting
1469278379855012739,NPK 19-9-19,19.0,9.0,19.0,No,combination of practices
1469278379854783130,npk 16-16-8,16.0,16.0,8.0,No,mowing/cutting
1469278379855009281,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469883818362505057,npk 20-10-5,20.0,10.0,5.0,No,mowing/cutting
1469278379854782955,npk 21-5-5,21.0,5.0,5.0,No,mowing/cutting
1469278379854782066,Ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379854782983,npk 19-9-19,19.0,9.0,19.0,No,combination of practices
1469278379855009775,NPK20-10-10,20.0,10.0,10.0,No,combination of practices
