entity_id,year_joined_nescafe_plan,training_sessions_male,training_sessions_female,training_sessions_youth,technical_visits,plantlets_received,plantlets_survived,condition_plantlets,renovation,expansion
7955439997587190375,2015.0,,,,1,,,,True,
7955439997588533131,2024.0,,,,0,,,,True,
7955439997587190373,2019.0,,,,3,0.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587190702,2023.0,,,,0,,,,,
7955439997588533366,2023.0,,,,4 or more,,,,True,
7955662907713785526,,,,,,,,,,
7955439997587190374,2023.0,,,,0,,,,,
7955439997588533423,,,,,,,,,,
7955439997588534114,,,,,,,,,,
1470157558628970564,,,,,,,,,,
1470157558628970682,,,,,,,,,,
7955439997587190925,,,,,,,,,,
7955439997588533148,2023.0,,,,1,,,,True,
7955439997588534184,,,,,,,,,,
7955439997587191908,2019.0,,,,1,,,,True,
7955439997587190737,2020.0,,,,1,,,,True,
7955439997587191763,2009.0,,,,1,,,,True,True
7955439997588533098,,,,,,,,,,
7955439997588534133,,,,,,,,,,
7955439997588534047,,,,,,,,,,
7955439997587190716,2022.0,,,,1,,,,True,
7955439997588534040,,,,,,,,,,
7955439997587190950,2024.0,,,,1,,,,,
7955439997588534414,,,,,,,,,,
7955439997587190875,2022.0,,,,3,,,,,
7955439997588534076,,,,,,,,,,
7955439997588534797,2025.0,,,,1,,,,,
7955439997587191837,2009.0,,,,2,,,,True,False
7955439997587190728,2022.0,,,,2,0.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587191871,2009.0,,,,0,,,,True,True
7955439997574930177,,,,,,,,,,
1470157558628970660,,,,,,,,,,
1470157558628971470,,,,,,,,,,
1470157558628970593,,,,,,,,,,
7955439997588532733,,,,,,,,,,
7955439997588531222,,,,,,,,,,
7955439997588532551,2025.0,,,,,,,,,
7955439997587191514,2024.0,,,,1,,,,True,
7955439997588532550,2024.0,,,,1,,,,,
7955439997588531529,,,,,,,,,,
1470157558628971395,,,,,,,,,,
7955439997587191230,2024.0,,,,0,,,,,
7955439997587191483,2024.0,,,,1,,,,,
7955439997588533036,2024.0,,,,1,,,,True,
7955439997587191421,2022.0,,,,3,,,,True,
7955439997588531667,,,,,,,,,,
7955439997588532513,,,,,,,,,,
1469278379854639612,,,,,,,,,,
7955439997588531550,2022.0,,,,0,,,,True,
7955439997587191563,2024.0,,,,0,,,,,
7955439997588532792,,,,,,,,,,
1470157558628971521,,,,,,,,,,
1469278379854639842,2019.0,2,1,0,1,,,,,
7955439997588531824,,,,,,,,,,
7955439997587191503,2024.0,,,,0,,,,False,
7955439997588531538,2022.0,,,,1,,,,True,
7955439997587191442,2024.0,,,,2,,,,True,True
1469278379854642005,2022.0,1,0,0,2,,,,,
1469278379854638829,2019.0,0,3,0,2,,,,True,
7955439997588532350,,,,,,,,,,
1469278379854642038,2022.0,0,3,0,0,,,,,
1469278379854639857,2019.0,3,0,0,1,,,,,
1469278379854639545,,,,,,,,,,
1469278379854638528,2015.0,0,1,0,1,,,,True,
7955439997587191557,2024.0,,,,0,,,,,
7955439997587191538,2024.0,,,,0,,,,True,
7955439997588531463,,,,,,,,,,
1470157558628971345,,,,,,,,,,
1470157558628971333,,,,,,,,,,
1470157558628971504,,,,,,,,,,
1470157558628971146,,,,,,,,,,
7955662907712541052,2021.0,1,3,4 or more,3,,,,False,False
1469592163271953811,2019.0,0,2,0,2,,,,,
7955439997588532710,,,,,,,,,,
1470157558628971174,,,,,,,,,,
7955439997586893348,,,,,,,,,,
1470157558628971355,,,,,,,,,,
7955439997588532722,,,,,,,,,,
7955439997587861178,2023.0,1,0,0,1,1000.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271965499,2023.0,0,0,2,1,,,,,
1470157558628971176,,,,,,,,,,
1470002575956820699,2023.0,0,0,0,1,1200.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575956820686,2021.0,0,0,0,1,,,,True,
1469592163271959049,2017.0,0,2,0,0,1000.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575945831593,2022.0,2,0,0,2,,,,,
7955439997588531757,2023.0,,,,3,,,,True,
7955439997588531874,,,,,,,,,,
1469592163271958111,,,,,,,,,,
1470157558628970924,,,,,,,,,,
7955439997587190116,2025.0,,,,1,,,,True,
7955439997587191402,2024.0,,,,1,,,,False,
1470002575936435263,2024.0,2,2,0,1,,,,,
1470157558628971093,2024.0,1,0,0,1,,,,,
7955439997587190147,2024.0,,,,1,,,,True,
7955439997588531440,2022.0,,,,2,,,,True,
7955439997588531450,,,,,,,,,,
1469278379854639715,,,,,,,,,,
1469592163271958912,2019.0,0,0,0,0,1200.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587191409,2020.0,,,,0,,,,,
1470157558628970921,,,,,,,,,,
7955439997588531832,2021.0,,,,2,,,,True,
1469278379854640110,2019.0,2,0,0,4 or more,,,,True,
1469592163271960708,2017.0,0,2,0,0,1000.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587191207,2024.0,,,,0,,,,,
1469592163271951997,2020.0,1,0,0,1,500.0,470.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470157558628970896,,,,,,,,,,
7955439997588531563,2020.0,,,,1,,,,True,
7955439997588532899,,,,,,,,,,
1470002575945833344,2020.0,3,0,0,2,,,,,
1469278379854639326,2019.0,2,0,0,1,,,,True,
7955439997587191060,2021.0,,,,1,,,,True,
7955439997588531891,,,,,,,,,,
7955439997587191373,2024.0,,,,2,,,,True,
1469278379854638739,2021.0,3,0,0,2,,,,,
1469278379854639968,2021.0,2,0,0,2,,,,True,
7955439997588531558,2023.0,,,,3,,,,True,
7955439997588531867,2018.0,,,,1,,,,True,
1469278379854640124,2020.0,0,2,0,2,,,,True,
7955439997588531920,2024.0,,,,1,,,,True,
1469278379854638754,2022.0,1,0,0,2,,,,,
7955439997588531331,2021.0,,,,0,,,,True,
7955439997588532906,,,,,,,,,,
1469278379854639226,2020.0,0,3,0,2,,,,,
7955439997587190093,2021.0,,,,1,,,,True,
7955439997588531881,,,,,,,,,,
7955439997587191099,2024.0,,,,0,,,,,
1469278379854639404,2020.0,3,0,0,2,,,,True,
1469278379854639388,2019.0,3,0,0,1,,,,True,
1469278379854640050,2022.0,0,2,0,2,,,,True,
1469278379854639391,2020.0,3,0,0,2,,,,True,
7955439997587191196,2024.0,,,,0,,,,True,
7955439997587191197,2024.0,,,,2,,,,True,
1469569898290015317,2015.0,2,0,0,4 or more,,,,True,True
1469569898290012844,,,,,,,,,,
7955439997588499919,,,,,,,,,,
1469592163271956852,2017.0,1,0,0,1,500.0,50.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271951725,2014.0,0,0,0,0,800.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271956462,2014.0,0,0,1,0,300.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271957083,2015.0,1,0,0,0,250.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997586893337,,,,,,,,,,
1469592163271956239,2020.0,0,0,0,0,1000.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271953346,2019.0,4 or more,4 or more,0,1,345.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271962809,2018.0,2,0,0,2,500.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575956820720,2021.0,1,0,0,1,1000.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854638178,2011.0,0,2,0,0,300.0,70.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271955629,2017.0,0,0,0,0,1000.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955662907699201166,2023.0,0,0,0,4 or more,,,,,
1469592163271950828,2025.0,1,0,0,0,0.0,0.0,Average (some plants are poorly developed but others are healthy),,
1469592163271957097,2018.0,1,2,1,0,,,,,
1469592163271951095,2022.0,2,0,0,1,,,,True,
1469278379854641211,2021.0,0,3,0,3,,,,True,
1469592163271956611,2017.0,0,0,0,0,500.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271963493,2019.0,4 or more,0,0,1,200.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854638152,2016.0,2,0,0,1,,,,True,
1469278379854638436,2011.0,0,3,0,4 or more,,,,True,
1469592163271959589,2018.0,0,0,0,1,,,,True,
1470002575936435740,2024.0,2,0,0,0,,,,,True
7955439997582550302,2024.0,1,2,0,2,,,,,
1469278379854641116,2022.0,0,3,0,2,350.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854638382,2011.0,3,0,0,3,300.0,100.0,Average (some plants are poorly developed but others are healthy),True,
1469278379854638630,2012.0,0,3,0,3,,,,True,
1469278379854638126,2016.0,3,0,0,3,,,,True,
1469278379854641156,2023.0,0,2,0,1,0.0,98.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854639111,2022.0,3,0,0,1,,,,True,
1469592163271957294,2010.0,0,0,0,0,,,,True,
1469592163271965074,2024.0,0,0,0,0,,,,True,False
1469278379854640290,2013.0,3,0,0,3,,,,True,
7955439997587189758,2023.0,,,,4 or more,,,,,
1469592163271960824,2020.0,0,0,0,1,,,,True,
1470002575936436099,2023.0,3,0,0,3,,,,,
1469592163271957765,2021.0,0,0,0,0,,,,True,
7955439997587189849,2023.0,,,,2,,,,,
1470002575936436118,2025.0,0,0,0,1,,,,,
7955439997587189752,2023.0,,,,2,195.0,80.0,Average (some plants are poorly developed but others are healthy),True,
1469592163271961328,2020.0,3,0,0,0,500.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469592163271955386,2022.0,2,0,0,2,,,,True,
1469592163271950946,2013.0,0,0,0,0,,,,,
1469592163271962961,2022.0,0,0,0,1,,,,True,
1469592163271952673,2020.0,0,0,0,2,,,,True,
1469592163271965977,2022.0,1,0,0,1,,,,True,
1469592163271964771,2019.0,0,0,0,0,,,,True,
7955439997587189658,2024.0,,,,1,,,,,
1469278379854641295,2021.0,0,2,0,1,0.0,67.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575936435286,2023.0,1,0,0,3,,,,,
1469592163271951964,2022.0,0,0,0,0,,,,False,
1469278379854640582,2021.0,0,0,0,1,,,,True,
