entity_id,financial_records,vsla
7955439997587190375,Yes,
7955439997588533131,,
7955439997587190373,,
7955439997587190702,Yes,
7955439997588533366,,
7955662907713785526,,
7955439997587190374,No,
7955439997588533423,,
7955439997588534114,,
1470157558628970564,,
1470157558628970682,,
7955439997587190925,,
7955439997588533148,,
7955439997588534184,,
7955439997587191908,Yes,
7955439997587190737,No,
7955439997587191763,Yes,
7955439997588533098,,
7955439997588534133,,
7955439997588534047,,
7955439997587190716,Yes,
7955439997588534040,,
7955439997587190950,Yes,
7955439997588534414,,
7955439997587190875,Yes,
7955439997588534076,,
7955439997588534797,,
7955439997587191837,No,
7955439997587190728,No,
7955439997587191871,No,
7955439997574930177,Yes,
1470157558628970660,,
1470157558628971470,,
1470157558628970593,,
7955439997588532733,,
7955439997588531222,,
7955439997588532551,,
7955439997587191514,No,
7955439997588532550,,
7955439997588531529,,
1470157558628971395,,
7955439997587191230,No,
7955439997587191483,No,
7955439997588533036,Yes,
7955439997587191421,Yes,
7955439997588531667,,
7955439997588532513,,
1469278379854639612,,
7955439997588531550,,
7955439997587191563,No,
7955439997588532792,,
1470157558628971521,,
1469278379854639842,No,
7955439997588531824,,
7955439997587191503,No,
7955439997588531538,,
7955439997587191442,No,
1469278379854642005,Yes,
1469278379854638829,Yes,
7955439997588532350,,
1469278379854642038,Yes,
1469278379854639857,Yes,
1469278379854639545,,
1469278379854638528,Yes,
7955439997587191557,No,
7955439997587191538,No,
7955439997588531463,,
1470157558628971345,,
1470157558628971333,,
1470157558628971504,,
1470157558628971146,,
7955662907712541052,No,
1469592163271953811,No,
7955439997588532710,,
1470157558628971174,,
7955439997586893348,,
1470157558628971355,,
7955439997588532722,,
7955439997587861178,Yes,
1469592163271965499,Yes,
1470157558628971176,,
1470002575956820699,Yes,
1470002575956820686,No,
1469592163271959049,No,
1470002575945831593,Yes,
7955439997588531757,Yes,
7955439997588531874,,
1469592163271958111,Yes,
1470157558628970924,,
7955439997587190116,No,
7955439997587191402,,
1470002575936435263,,
1470157558628971093,,
7955439997587190147,No,
7955439997588531440,,
7955439997588531450,,
1469278379854639715,,
1469592163271958912,Yes,
7955439997587191409,No,
1470157558628970921,,
7955439997588531832,,
1469278379854640110,Yes,
1469592163271960708,Yes,
7955439997587191207,No,
1469592163271951997,Yes,
1470157558628970896,,
7955439997588531563,,
7955439997588532899,,
1470002575945833344,Yes,
1469278379854639326,Yes,
7955439997587191060,No,
7955439997588531891,,
7955439997587191373,No,
1469278379854638739,Yes,
1469278379854639968,Yes,
7955439997588531558,No,
7955439997588531867,,
1469278379854640124,Yes,
7955439997588531920,No,
1469278379854638754,Yes,
7955439997588531331,,
7955439997588532906,,
1469278379854639226,,
7955439997587190093,,
7955439997588531881,,
7955439997587191099,No,
1469278379854639404,No,
1469278379854639388,No,
1469278379854640050,Yes,
1469278379854639391,No,
7955439997587191196,No,
7955439997587191197,No,
1469569898290015317,,
1469569898290012844,,
7955439997588499919,,
1469592163271956852,Yes,
1469592163271951725,Yes,
1469592163271956462,Yes,
1469592163271957083,Yes,
7955439997586893337,Yes,
1469592163271956239,Yes,
1469592163271953346,Yes,
1469592163271962809,No,
1470002575956820720,Yes,
1469278379854638178,Yes,
1469592163271955629,Yes,
7955662907699201166,,
1469592163271950828,,
1469592163271957097,Yes,
1469592163271951095,No,
1469278379854641211,No,
1469592163271956611,Yes,
1469592163271963493,Yes,
1469278379854638152,Yes,
1469278379854638436,Yes,
1469592163271959589,No,
1470002575936435740,No,
7955439997582550302,Yes,
1469278379854641116,Yes,
1469278379854638382,Yes,
1469278379854638630,Yes,
1469278379854638126,Yes,
1469278379854641156,Yes,
1469278379854639111,Yes,
1469592163271957294,No,
1469592163271965074,Yes,
1469278379854640290,Yes,
7955439997587189758,Yes,
1469592163271960824,No,
1470002575936436099,No,
1469592163271957765,No,
7955439997587189849,No,
1470002575936436118,,
7955439997587189752,No,
1469592163271961328,Yes,
1469592163271955386,Yes,
1469592163271950946,Yes,
1469592163271962961,No,
1469592163271952673,No,
1469592163271965977,No,
1469592163271964771,Yes,
7955439997587189658,No,
1469278379854641295,Yes,
1470002575936435286,,
1469592163271951964,No,
1469278379854640582,Yes,
1469592163271962850,Yes,
7955439997587189540,No,
1470002575936435604,No,
1469278379854641485,Yes,
1469592163271958136,Yes,
1469278379854640621,No,
1469278379854641488,Yes,
1469278379854640852,Yes,
7955439997587189937,Yes,
7955439997587189640,No,
1469278379854641463,No,
1469278379854640901,Yes,
7955439997587189712,No,
1469883818362504507,Yes,
7955439997587189936,Yes,
7955662907702140009,,
1470002575936435612,No,
7955662907702140000,Yes,
7955439997587187586,No,
7955439997587861513,No,
1469592163271957427,Yes,
7955662907699200862,No,
1470002575956820610,Yes,
7955439997587861298,No,
1469592163271961683,Yes,
1470002575956820727,Yes,
1469592163271961684,Yes,
7955439997582550081,Yes,
1470002575956820200,Yes,
7955439997587187540,No,
7955662907699200876,Yes,
1469569898290009880,Yes,0.0
7955439997587861424,No,
1469278379854642324,Yes,
7955439997587187356,No,
1469278379854641057,Yes,
7955439997587187544,No,
1470002575956820627,Yes,
1469278379854640984,Yes,
1469592163271951560,Yes,
7955439997587188056,Yes,
1470002575956820202,Yes,
1470002575943383722,No,
1469278379854642347,Yes,
7955439997587187549,No,
1469278379854642365,Yes,
1470002575956821012,No,
1470002575956820600,Yes,
1469278379854641969,Yes,
1469278379854642733,Yes,
7955439997587187267,No,
7955439997587188186,Yes,
1469278379854639479,Yes,
1469278379854642319,Yes,
1469278379854639435,Yes,
1470002575945819824,,
7955439997587188145,Yes,
1469278379854642851,No,
7955439997587187472,Yes,
1469278379854641597,Yes,
1470002575936436326,No,
1469569898290010106,,
7955439997586893418,Yes,
7955439997586893364,,
1469569898290010214,,
1469592163271951570,Yes,
7955439997587187760,No,
7955439997587861340,No,
7955439997587861442,Yes,
7955662907699201217,,
1469592163271960794,Yes,
1469592163271963032,Yes,
1470002575956820617,No,
7955439997587187832,Yes,
7955439997587187280,No,
7955439997587187247,No,
7955439997587188514,No,
1470002575936435583,,
7955439997587861354,No,
7955439997587187827,Yes,
7955439997587186973,No,
7955439997587861406,No,
1469883818362504473,Yes,
1470002575936436257,No,
1469592163271957438,Yes,
7955439997587189228,Yes,
7955439997587861203,Yes,
7955439997587188907,No,
1469278379854641878,Yes,
1470002575956820249,No,
7955439997587861493,No,
1469278379854641900,No,
7955439997587187139,No,
7955439997587187613,No,
1470002575956820979,No,
1469278379854643034,Yes,
1470002575936435355,,
1469278379854642185,Yes,
1469278379854639161,,
7955439997587188702,No,
7955439997587187880,No,
1470002575956820251,No,
7955439997587188844,Yes,
1469883818362504483,Yes,
7955439997587187136,No,
7955439997587189148,No,
1469278379854643307,,
1469278379854643024,No,
1469278379854641788,Yes,
7955439997587187559,No,
7955439997587188709,No,
7955439997587187178,No,
7955439997587187424,No,
7955439997586893401,Yes,
1469883818362504470,Yes,
1469278379854642183,Yes,
1469278379854639106,,
1469278379854641818,Yes,
1469278379854641822,Yes,
7955439997587189175,No,
7955439997587187892,Yes,
1469278379854642099,Yes,
1469278379854642607,Yes,
7955439997587188619,No,
1469278379854643075,Yes,
1469278379854638326,Yes,
7955439997587189408,No,
7955439997587189489,No,
7955439997587188391,No,
1469278379854638324,Yes,
7955439997587189422,No,
1470002575945833969,No,
7955439997587188484,No,
1470002575936435396,No,
1469592163271952272,No,
1470002575956820233,Yes,
1470002575956820856,No,
1469278379854639019,Yes,
7955439997587187792,No,
7955439997587189287,No,
7955439997588499928,No,
1470002575956820270,No,
1470002575943383713,No,
1470002575956820269,No,
1469278379854639028,No,
1470002575956820205,No,
1470002575956820810,No,
1470002575956820982,Yes,
1469278379854640648,,
7955439997587188607,No,
7955439997587189347,No,
7955439997587187854,No,
7955439997587188091,Yes,
7955439997587188954,No,
1470002575936435487,,
1470002575945833359,Yes,
1470002575945833431,No,
7955439997587188078,No,
1469278379854641425,Yes,
7955439997587188315,No,
7955439997587188300,No,
1469278379854640651,Yes,
7955439997587189307,No,
1469278379854640725,,
7955439997587188503,No,
7955439997587189403,,
1469278379854641423,Yes,
7955439997587189216,No,
1470002575945833159,No,
7955439997588499930,No,
1470002575945830604,No,0.0
1470002575945830273,No,
7955439997588499907,No,
1470002575945833244,Yes,
1470002575945831632,Yes,
1470002575945832945,Yes,0.0
7955439997588499925,No,
1470002575945832928,Yes,0.0
1470002575936435961,,
1470002575945825511,Yes,
1470002575936435935,No,
1470002575945823872,No,0.0
1470002575945825341,Yes,
1470002575945823889,No,0.0
1470002575945833708,No,
1470002575936435249,,
1470002575945833136,Yes,0.0
1470002575945825366,Yes,
1470002575945823997,No,0.0
1470002575945823969,No,0.0
1470002575945824004,No,1.0
7955439997588499906,No,
1470002575945833036,Yes,0.0
1470002575936436150,,
7955439997586686982,Yes,
7955439997587858581,No,
7955439997586685654,No,
7955439997586686224,No,
7955439997586686034,No,
1470002575945824835,No,
1470002575945831979,Yes,0.0
7955439997586683824,Yes,
1470002575945824820,No,
1470002575945832265,Yes,0.0
7955662907699201219,,
7955439997588499917,Yes,0.0
1470002575945824728,No,
7955439997587859399,Yes,
1470002575945832312,Yes,0.0
7955439997587859266,No,
1470002575945824747,No,
1470002575945829101,No,0.0
7955439997587861655,Yes,
1470002575936435237,No,
1470002575945824656,Yes,
7955439997587859262,Yes,
7955439997586685516,Yes,
1470002575945828932,No,0.0
7955439997587861897,No,
1470002575945832607,Yes,0.0
7955439997587858571,Yes,
7955439997586683478,Yes,
1470002575945828928,No,0.0
7955439997586686976,No,
7955439997586682514,Yes,
1470002575945829054,No,0.0
1470002575936435504,No,
7955439997588499920,Yes,0.0
1470002575945832187,Yes,0.0
7955439997586683823,Yes,
7955439997586685614,No,
7955439997586683835,Yes,
1470002575945829050,No,0.0
7955439997586683527,Yes,
7955439997586685626,No,
7955439997586685606,No,
7955439997586687148,Yes,
1470002575945832546,Yes,
7955439997586683882,Yes,
7955439997586683830,Yes,
1470002575945825121,No,
7955439997587191885,Yes,
7955439997586682705,Yes,
7955439997586682617,No,
1469278379854783002,Yes,
1470002575945824237,No,
1470002575945832320,Yes,0.0
1470002575945831791,Yes,0.0
1469569898290016373,,
7955439997587858689,Yes,
7955439997587861810,Yes,
7955439997587858579,Yes,
7955439997588499923,Yes,0.0
7955439997587861523,No,
1470002575945824211,,
1470002575936436071,No,
7955439997587861809,Yes,
1470002575936436536,No,
1470002575936436077,,
1470002575945824248,Yes,
7955439997587861797,Yes,
7955439997587858781,Yes,
7955439997587859520,Yes,
1470002575945830218,No,0.0
1470002575936436408,,
7955439997587861803,Yes,
7955439997587858782,Yes,
7955439997587858783,Yes,
1470002575945830208,No,
1470002575936436490,,
7955439997587861542,No,
7955439997586686569,No,
7955439997586686316,Yes,
7955439997586686866,No,
1469569898290017071,,
1470002575936435477,No,
