entity_id,yield_gc_per_ha,production_(kg),average_green_bean_price,total_fertilizer_applied_kg_per_ha,organic_fertilizer_applied_kg_per_ha
7955439997587190375,,,,,
7955439997588533131,,,,,
7955439997587190373,,,,,
7955439997587190702,,,,,
7955439997588533366,,,,,
7955662907713785526,,,,,
7955439997587190374,,,,,
7955439997588533423,,,,,
7955439997588534114,,,,,
1470157558628970564,,,,,
1470157558628970682,,,,,
7955439997587190925,,,,,
7955439997588533148,,,,,
7955439997588534184,,,,,
7955439997587191908,,,,,
7955439997587190737,1764.7,,,3176.3,0.0
7955439997587191763,,,,,
7955439997588533098,,,,,
7955439997588534133,,,,,
7955439997588534047,,,,,
7955439997587190716,6000.0,,,2200.0,700.0
7955439997588534040,,,,,
7955439997587190950,,,,,
7955439997588534414,,600.0,,,
7955439997587190875,3684.2,,,6173.6,5368.4
7955439997588534076,,,,,
7955439997588534797,,1200.0,,,
7955439997587191837,,,,,
7955439997587190728,2538.1,,,2741.0,0.0
7955439997587191871,,,,,
7955439997574930177,,,,,
1470157558628970660,,,,,
1470157558628971470,,,,,
1470157558628970593,,,,,
7955439997588532733,,,,,
7955439997588531222,,,,,
7955439997588532551,,,,,
7955439997587191514,2333.3,,,1333.3,0.0
7955439997588532550,,1000.0,,,
7955439997588531529,,,,,
1470157558628971395,,,,,
7955439997587191230,3.125,,,1.625,0.0
7955439997587191483,,,,,
7955439997588533036,4727.27,2200.0,,5909.09,4545.45
7955439997587191421,,,,5332.0,3732.0
7955439997588531667,,,,,
7955439997588532513,,,,,
1469278379854639612,,7000.0,,,
7955439997588531550,,,,,
7955439997587191563,8.8,,,1.9,833.3
7955439997588532792,,,,,
1470157558628971521,,,,,
1469278379854639842,3333.0,333.0,,6222.2,5000.0
7955439997588531824,,,,,
7955439997587191503,,,,,
7955439997588531538,,,,,
7955439997587191442,,,,,
1469278379854642005,3133.0,4700.0,,9467.0,6800.0
1469278379854638829,4375.0,1335.0,,7000.0,5375.0
7955439997588532350,,,,,
1469278379854642038,3000.0,600.0,,9250.0,8000.0
1469278379854639857,4000.0,2300.0,,8166.7,4333.3
1469278379854639545,,5000.0,,,
1469278379854638528,5733.33,3314.58,,20166.67,16500.0
7955439997587191557,,,,,
7955439997587191538,,,,,
7955439997588531463,,,,,
1470157558628971345,,,,,
1470157558628971333,,,,,
1470157558628971504,,,,,
1470157558628971146,,,,,
7955662907712541052,500.0,,,0.0,0.0
1469592163271953811,100.0,100.0,,0.0,
7955439997588532710,,,,,
1470157558628971174,,,,,
7955439997586893348,,,,,
1470157558628971355,,,,,
7955439997588532722,,,,,
7955439997587861178,100.0,100.0,,200.0,0.0
1469592163271965499,490.67,,,75.0,
1470157558628971176,,,,,
1470002575956820699,379.0,720.0,,75.0,
1470002575956820686,39.13,90.0,,0.0,
1469592163271959049,368.0,368.0,,400.0,0.0
1470002575945831593,407.0,407.0,1500.0,,
7955439997588531757,2600.0,1800.0,,6320.0,4800.0
7955439997588531874,,,,,
1469592163271958111,184.0,92.0,,150.0,
1470157558628970924,,,,,
7955439997587190116,,,,,
7955439997587191402,,,,,
1470002575936435263,,,,,
1470157558628971093,,,,,
7955439997587190147,,,,,
7955439997588531440,,4000.0,,,
7955439997588531450,,,,,
1469278379854639715,,,,,
1469592163271958912,1840.0,1840.0,,750.0,400.0
7955439997587191409,,,,,
1470157558628970921,,,,,
7955439997588531832,,,,,
1469278379854640110,4583.3,5500.0,,16098.5,14431.8
1469592163271960708,736.0,736.0,,200.0,0.0
7955439997587191207,2730.0,,,11081.0,9189.2
1469592163271951997,166.66,800.0,,200.0,0.0
1470157558628970896,,,,,
7955439997588531563,,,,,
7955439997588532899,,,,,
1470002575945833344,72.0,108.0,1500.0,,
1469278379854639326,3000.0,3000.0,,9833.0,7333.0
7955439997587191060,,,,,
7955439997588531891,,,,,
7955439997587191373,1481.5,,,4555.8,
1469278379854638739,4667.0,7000.0,,20900.0,15200.0
1469278379854639968,3500.0,7000.0,,8925.0,5550.0
7955439997588531558,4379.08,2800.0,,12287.58,9150.32
