base_column,original_column,kept
Entity ID,Entity ID,True
System ID,System ID,True
Entity Name,Entity Name,True
Unit,Unit,True
Country,Country,True
Data Created,Data Created,True
Date of The Data Collection,Date of The Data Collection,True
Year of reporting,Year of reporting,True
Enumerator,Enumerator,True
Interviewee/Person,Interviewee/Person,True
Assessment name,Assessment name,True
Previous M&E assessment(s),Previous M&E assessment(s),True
Year of previous M&E assessment(s) - 2018,Year of previous M&E assessment(s) - 2018,True
Year of previous M&E assessment(s) - 2019,Year of previous M&E assessment(s) - 2019,True
Year of previous M&E assessment(s) - 2020,Year of previous M&E assessment(s) - 2020,True
Year of previous M&E assessment(s) - 2021,Year of previous M&E assessment(s) - 2021,True
Year of previous M&E assessment(s) - 2022,Year of previous M&E assessment(s) - 2022,True
Year of previous M&E assessment(s) - 2023,Year of previous M&E assessment(s) - 2023,True
Year of previous M&E assessment(s) - 2024,Year of previous M&E assessment(s) - 2024,True
Currency,Currency,True
Area unit,Area unit,True
Volume unit,Volume unit,True
Species - Arabica,Species - Arabica,True
Species - Robusta,Species - Robusta,True
Species - Liberica,Species - Liberica,True
Entity picture,Entity picture,True
Farmer signature,Farmer signature,True
Data collection cant be completed,Data collection cant be completed,True
Please explain,Please explain,True
Completion status step 1,Completion status step 1,True
Remarks step 1,Remarks step 1,True
Do you want to update existing information?,Do you want to update existing information?,True
Do you want to autofill the field with existing information?,Do you want to autofill the field with existing information?,True
Farm ID,Farm ID,True
Address 1,Address 1,True
Address 2,Address 2,True
Region,Region,True
Sub Region,Sub Region,True
Sub-unit,Sub-unit,True
Latitude,Latitude,True
Longitude,Longitude,True
Altitude,Altitude,True
GPS method,GPS method,True
Polygon,Polygon,True
Calculate Polygon Area,Calculate Polygon Area,True
Polygon method,Polygon method,True
Total Farm Area,Total Farm Area,True
Existing Plot - Plot number,Existing Plot - Plot number,True
Do you want to update existing plot information?,Do you want to update existing plot information?,True
Do you want to autofill the field with existing plot information?,Do you want to autofill the field with existing plot information?,True
Species,Species,True
Variety,Variety,True
Year Started,Year Started,True
Production,Production,True
Production (Kg),Production (Kg),True
Total Coffee Area,Total Coffee Area,True
Total Coffee Tree,Total Coffee Tree,True
Coffee Area Under Active Production,Coffee Area Under Active Production,True
Coffee Tree Under Active Production,Coffee Tree Under Active Production,True
Coffee Area Under Rejuvenation Stage (less than 3 years),Coffee Area Under Rejuvenation Stage (less than 3 years),True
Coffee Tree Under Rejuvenation Stage (less than 3 years),Coffee Tree Under Rejuvenation Stage (less than 3 years),True
Coffee Tree Under Rejuvenation Stage ( less than 3 years),Coffee Tree Under Rejuvenation Stage ( less than 3 years),True
Coffee Area Intercropping,Coffee Area Intercropping,True
Coffee Tree Intercropping,Coffee Tree Intercropping,True
Intercropping crops,Intercropping crops,True
Coffee Area Monocropping,Coffee Area Monocropping,True
Coffee Tree Monocropping,Coffee Tree Monocropping,True
Other Crops,Other Crops,True
Land Area Other Crops,Land Area Other Crops,True
Total Tree Other Crops,Total Tree Other Crops,True
Total Tree Other Crops Update),Total Tree Other Crops Update),True
Land Area Under Natural Habitat or Conservation Management,Land Area Under Natural Habitat or Conservation Management,True
Total Tree Under Natural Habitat or Conservation Management,Total Tree Under Natural Habitat or Conservation Management,True
Farm Area Dedicated to Other Uses,Farm Area Dedicated to Other Uses,True
Total Tree Dedicated to Other Uses,Total Tree Dedicated to Other Uses,True
Total Area,Total Area,True
Total Tree,Total Tree,True
Calculate Polygon Area (Ha),Calculate Polygon Area (Ha),True
New Plot - Plot number,New Plot - Plot number,True
Calculated Polygon Area (Ha),Calculated Polygon Area (Ha),True
Completion status step 2,Completion status step 2,True
Remarks step 2,Remarks step 2,True
Pick People,Pick People,True
Do you want to update existing people information?,Do you want to update existing people information?,True
Do you want to autofill the field with existing people information?,Do you want to autofill the field with existing people information?,True
First Name,First Name,True
Last Name,Last Name,True
Gender,Gender,True
