entity_id,education_level
1470157558564695309,Senior High School
1470157558564695295,Primary school
1470157558564694946,Senior High School
1470157558564695057,Primary school
1470157558564694699,Primary school
1470157558564694968,Primary school
1470157558564694704,Primary school
1470157558564695065,Secondary school
1470157558564694989,Secondary school
1470157558564695215,Primary school
1470157558564694714,Senior High School
1470157558564694722,Senior High School
1470157558564694903,Secondary school
1470157558564694972,Primary school
1470157558564694797,Senior High School
1470157558564695074,Secondary school
1470157558564694799,Senior High School
1470157558564695163,Primary school
1470157558564695952,Senior High School
1470157558564695873,Senior High School
1470157558564695063,Senior High School
1470157558564695879,Primary school
1470157558564696002,Senior High School
1470157558564695991,Senior High School
1470157558564695965,Primary school
1470157558564695118,Secondary school
1470157558564694820,Senior High School
1470157558564695191,
1470157558564695739,Primary school
1470157558564695307,Senior High School
1470157558564695573,Senior High School
1470157558564695554,Secondary school
1470157558564695390,University
1470157558564695569,Primary school
1470157558564695558,Secondary school
1470157558564695628,Secondary school
1470157558564695562,Secondary school
1470157558564695658,Primary school
1470157558564695386,Senior High School
1470157558564695504,Secondary school
1470157558564695096,Primary school
1470157558564695337,
1470157558564695889,
1470157558564695757,-
1469278379854639222,
1469278379854639342,Primary school
1469278379854638502,Primary school
1469278379854638316,Senior High School
1469883818362504539,Primary school
1469278379855013128,Secondary school
1469278379855012334,
1469278379855013186,Secondary school
1469883818362504743,Senior High School
1469278379854782274,Tertiary education
1469278379855014872,Secondary school
1469278379855004447,Senior High School
1469278379854781944,Secondary school
1469278379854781789,
1469278379854781780,Secondary school
1469278379855014611,Secondary school
1469278379855014782,Secondary school
1469278379855013420,Secondary school
1469278379855013426,Senior High School
1469278379855008977,Secondary school
1469278379854782189,Secondary school
1469883818362504707,Senior High School
1469278379855004763,Primary school
1469278379854782176,
1469278379855013194,Secondary school
1469278379854783010,Primary school
1469278379855012739,Secondary school
1469278379854783130,Primary school
1469278379855009281,Secondary school
1469883818362505057,Secondary school
1469278379854782955,Senior High School
1469278379854782066,Secondary school
1469278379854782983,Senior High School
1469278379855009775,Primary school
1469278379854781982,Primary school
1469883818362504785,Primary school
1469278379854782311,Primary school
1469883818362504788,Senior High School
1469278379854782873,Secondary school
