entity_id,year_of_reporting,coffee_land_with_cover_crop_percent,has_erosion_control,agricultural_land_with_severe_erosion_percent,performs_soil_analysis,soil_analysis_interval,calculates_fertilizer_plan,soil_organic_matter_percent,soil_ph,coffee_land_receiving_organic_fertilizer_percent,organic_fertilizer_kg_per_ha,total_fertilizer_kg_per_ha,organic_fertilizer_percent_of_total,most_used_fertilizer,n_percent,p_percent,k_percent,fertilizer_applied_per_year,coffee_area_ha,yield_gc_per_ha,n_productivity_np,uses_red_listed_agro_inputs,herbicide_application_frequency_per_year,weed_management_practices
1470157558564695309,2024,51%-75%,Yes,0%,Yes,1&2,Yes,6.67,4.29,100.0,13261.0,13939.0,95.14,Lu00e2n Vu0103n u0110iu1ec3n,15.0,,,2000.0,2.95,4203.0,41.33,No,0,mowing/cutting
1470157558564695295,2024,>75%,No,0%,Yes,1&2,Yes,4.44,4.39,100.0,14118.0,16471.0,85.71,npk 16-16-8,16.0,16.0,8.0,8000.0,3.4,5882.0,15.62,No,0,mowing/cutting
1470157558564694946,2024,>75%,Yes,0%,Yes,1&2,Yes,6.49,4.22,100.0,5000.0,8967.0,55.76,npk 20-5-5,20.0,5.0,5.0,11900.0,3.0,2333.0,2.94,No,0,mowing/cutting
1470157558564695057,2024,>75%,Yes,0%,Yes,1&2,Yes,6.22,4.18,100.0,1522.0,3502.0,43.46,npk 20-5-5,20.0,5.0,5.0,3900.0,1.97,6954.0,17.56,No,0,mowing/cutting
1470157558564694699,2024,>75%,Yes,0%,Yes,1&2,Yes,4.49,4.06,100.0,2778.0,3444.0,80.66,npk 21-11-8,21.0,11.0,8.0,1200.0,1.8,3647.0,26.05,No,0,mowing/cutting
1470157558564694968,2024,26%-50%,Yes,0%,Yes,1&2,Yes,5.32,4.4,100.0,1053.0,6053.0,17.4,Uru00ea 46,46.0,0.0,0.0,9500.0,1.9,5789.0,2.52,No,0,mowing/cutting
1470157558564694704,2024,>75%,Yes,0%,Yes,1&2,Yes,4.49,4.06,100.0,1364.0,3000.0,45.47,npk 18-8-18,18.0,8.0,18.0,3600.0,2.2,6000.0,20.37,No,0,mowing/cutting
1470157558564695065,2024,>75%,Yes,0%,Yes,1&2,Yes,6.67,4.29,100.0,8511.0,11149.0,76.34,npk 20-10-10,20.0,0.0,0.0,6200.0,2.35,4128.0,7.82,No,0,mowing/cutting
1470157558564694989,2024,51%-75%,No,0%,Yes,1&2,Yes,6.49,4.22,100.0,16800.0,21250.0,79.06,ure 46,46.0,0.0,0.0,4450.0,1.0,4600.0,2.25,No,0,mowing/cutting
1470157558564695215,2024,26%-50%,Yes,0%,Yes,1&2,Yes,6.67,4.29,100.0,7800.0,8675.0,89.91,uru00ea 46%,46.0,0.0,0.0,875.0,1.0,3000.0,7.45,No,1,mowing/cutting
1470157558564694714,2024,>75%,Yes,0%,Yes,1&2,Yes,3.18,3.98,100.0,8333.0,10250.0,81.3,npk 20-15-15,20.0,15.0,15.0,1150.0,0.6,3333.0,8.69,No,0,mowing/cutting
