entity_id,year_of_reporting,year_joined_nescafe_plan,no_male_last_12_months,no_female_last_12_months,no_youth_18_29_last_12_months,technical_visits_last_12_months
1469278379854639222,2024,2018.0,1,2,2,2
1469278379854639342,2024,2021.0,0,0,0,2
1469278379854638502,2024,2010.0,2,1,0,4 or more
1469278379854638316,2024,2010.0,1,0,0,2
1469883818362504539,2024,2023.0,0,1,0,0
1469278379855013128,2024,2021.0,2,1,0,4 or more
1469278379855012334,2024,2012.0,0,2,0,2
1469278379855013186,2024,2014.0,1,0,0,2
1469883818362504743,2024,2021.0,2,1,0,1
1469278379854782274,2024,2019.0,1,1,1,2
1469278379855014872,2024,2020.0,3,0,0,4 or more
1469278379855004447,2024,2014.0,0,3,0,3
1469278379854781944,2024,2011.0,0,3,3,3
1469278379854781789,2024,2011.0,0,3,3,3
1469278379854781780,2024,2014.0,3,2,2,0
1469278379855014611,2024,2015.0,2,0,0,2
1469278379855014782,2024,2021.0,2,0,0,1
1469278379855013420,2024,2015.0,0,2,0,4 or more
1469278379855013426,2024,2015.0,2,0,0,3
1469278379855008977,2024,2017.0,3,0,0,3
1469278379854782189,2024,2015.0,3,0,3,0
1469883818362504707,2024,2019.0,3,0,0,2
1469278379855004763,2024,2013.0,1,2,0,4 or more
1469278379854782176,2024,2014.0,0,1,1,2
1469278379855013194,2024,2020.0,0,2,0,4 or more
1469278379854783010,2024,2010.0,0,4 or more,0,4 or more
1469278379855012739,2024,2010.0,1,1,0,1
1469278379854783130,2024,2012.0,0,3,0,3
1469278379855009281,2024,2019.0,2,0,0,2
1469883818362505057,2024,2023.0,0,2,0,4 or more
1469278379854782955,2024,2011.0,0,3,0,2
1469278379854782066,2024,2021.0,0,3,0,3
1469278379854782983,2024,2012.0,2,0,0,1
1469278379855009775,2024,2015.0,2,0,0,2
1469278379854781982,2024,2011.0,2,0,2,4 or more
1469883818362504785,2024,2015.0,2,0,2,4 or more
1469278379854782311,2024,2010.0,1,1,0,3
1469883818362504788,2024,2011.0,3,3,3,4 or more
1469278379854782873,2024,2014.0,3,0,0,3
1469278379855013487,2024,2014.0,0,2,0,4 or more
1469278379854782303,2024,2010.0,2,1,0,2
1469278379854782330,2024,2011.0,2,2,2,2
1469278379855013538,2024,2020.0,3,0,0,4 or more
1469278379854677182,2024,2021.0,0,0,0,4 or more
1469278379854782765,2024,2013.0,0,1,0,1
1469278379854677051,2024,2012.0,0,3,0,2
1469278379855012279,2024,2013.0,0,3,0,2
1469278379854782856,2024,2014.0,0,4 or more,0,3
1469278379855009590,2024,2014.0,2,0,0,2
1469278379854677054,2024,2013.0,3,0,0,2
1469278379855012573,2024,2013.0,3,0,0,4 or more
1469278379854783229,2024,2010.0,0,2,0,3
1469278379854781962,2024,2011.0,0,3,3,4 or more
1469278379854677037,2024,2022.0,1,2,0,2
1469278379855012570,2024,2013.0,3,0,0,4 or more
1469883818362504744,2024,2023.0,3,0,0,3
1469278379855012184,2024,2017.0,0,3,0,4 or more
1469883818362504715,2024,2020.0,0,3,0,4 or more
1469278379854783135,2024,2019.0,3,2,0,2
1469278379855012158,2024,2017.0,4 or more,0,0,4 or more
1469278379854783115,2024,2020.0,3,3,0,3
1469278379854782426,2024,2012.0,1,2,0,3
1469278379855013057,2024,2020.0,3,0,0,1
1469278379854783104,2024,2010.0,3,2,0,3
1469278379854782419,2024,2012.0,0,1,0,2
1469278379855009927,2024,2017.0,0,3,0,1
1469278379854677226,2024,2021.0,2,0,0,2
1469278379855012818,2024,2016.0,0,2,0,2
1469278379854677162,2024,2021.0,3,0,0,3
1469278379854782733,2024,2011.0,2,0,2,2
1469278379854677174,2024,2021.0,2,0,0,3
1469278379854783053,2024,2012.0,2,1,0,2
1469278379854782727,2024,2011.0,2,0,2,0
1469278379855013676,2024,2013.0,1,2,0,2
1469278379855013697,2024,2016.0,1,0,0,2
1469278379854782243,2024,2019.0,1,0,0,2
1469278379855012382,2024,2013.0,1,0,0,1
1469278379854783211,2024,2019.0,3,0,0,3
1469278379855012339,2024,2012.0,0,3,0,4 or more
1469278379854783216,2024,2021.0,0,2,0,3
1469278379855012856,2024,2019.0,1,2,0,3
1469278379855013932,2024,2019.0,2,1,0,3
1469278379855013152,2024,2022.0,2,1,0,3
1469278379855014007,2024,2020.0,2,2,0,3
